,RegionName,MsaName,year,rent_price,median_income,income_per_capita,income_200000_or_more,owner_occupied_housing_units_median_value,median_rent,million_dollar_housing_units
90,66062,"Kansas City, MO",2014,1246.5454545454545,82669.0,34115.0,1723.0,202500.0,778.0,120
91,11211,"New York, NY",2014,2757.4166666666665,50943.0,30557.0,2652.0,674900.0,1231.0,1146
92,44035,"Cleveland, OH",2014,613.9,44562.0,22383.0,167.0,101800.0,577.0,7
93,85281,"Phoenix, AZ",2014,1107.1666666666667,31600.0,17556.0,200.0,157000.0,765.0,2
94,11377,"New York, NY",2014,1624.0,49641.0,23505.0,838.0,406600.0,1250.0,108
95,90805,"Los Angeles-Long Beach-Anaheim, CA",2014,1109.1818181818182,45197.0,17325.0,352.0,287900.0,966.0,45
96,07302,"New York, NY",2014,2379.5833333333335,100336.0,60798.0,3588.0,477100.0,1653.0,333
97,85710,"Tucson, AZ",2014,804.75,42049.0,24096.0,196.0,145700.0,677.0,0
98,92683,"Los Angeles-Long Beach-Anaheim, CA",2014,1684.8333333333333,53559.0,22833.0,1111.0,455200.0,1285.0,70
99,85225,"Phoenix, AZ",2014,966.5833333333334,55753.0,24515.0,602.0,158300.0,819.0,11
100,11234,"New York, NY",2014,1663.5714285714287,67713.0,29736.0,1795.0,488400.0,1149.0,595
101,30281,"Atlanta, GA",2014,970.6666666666666,52666.0,23524.0,421.0,123900.0,813.0,37
102,37075,"Nashville, TN",2014,1045.5,62682.0,33332.0,1427.0,207800.0,798.0,157
103,11238,"New York, NY",2014,2450.5,69491.0,40557.0,1633.0,676800.0,1352.0,1709
104,78641,"Austin, TX",2014,1305.1666666666667,73535.0,29910.0,979.0,160200.0,1017.0,127
105,10314,"New York, NY",2014,1699.8333333333333,78962.0,33822.0,2082.0,435000.0,1040.0,277
106,19143,"Philadelphia, PA",2014,988.9090909090909,30391.0,19359.0,273.0,83500.0,686.0,80
107,91709,"Riverside, CA",2014,1976.5833333333333,97609.0,35529.0,2655.0,489700.0,1690.0,563
108,11215,"New York, NY",2014,2584.75,99040.0,58737.0,5465.0,937700.0,1768.0,4805
109,60617,"Chicago, IL",2014,1038.9166666666667,38825.0,18183.0,305.0,131800.0,649.0,63
