,RegionName,SizeRank,MsaName,year,rent_price,asian_pop,median_income,income_per_capita,income_150000_199999,income_200000_or_more,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,median_rent,million_dollar_housing_units,masters_degree,bachelors_degree_or_higher_25_64,graduate_professional_degree,male_45_64_graduate_degree,employed_information,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,one_parent_families_with_young_children
72,28027,87,"Charlotte, NC",2014,1102.8333333333333,2227,58132.0,27873.0,1190.0,947.0,836.0,126500.0,176700.0,259100.0,668.0,83,2234,10402.0,3093.0,567,425.0,1246.0,937.0,1337.0,789.0,1287.0
73,11207,88,"New York, NY",2014,1843.1666666666667,944,33816.0,16386.0,613.0,270.0,1054.0,315300.0,400600.0,493400.0,951.0,98,1890,6537.0,2269.0,336,475.0,1830.0,1496.0,1696.0,1640.0,5719.0
74,94501,89,"San Francisco, CA",2014,1673.4545454545455,17237,70935.0,39347.0,2079.0,2386.0,1351.0,459000.0,617000.0,773200.0,1288.0,627,4843,18328.0,7544.0,1361,1403.0,1025.0,959.0,875.0,1031.0,856.0
75,2169,90,"Boston, MA",2014,1596.5,11949,60775.0,33579.0,1420.0,1007.0,1230.0,251700.0,329800.0,407200.0,1137.0,111,4437,14692.0,5759.0,737,891.0,1036.0,1111.0,997.0,795.0,949.0
76,33411,91,"Miami-Fort Lauderdale, FL",2014,1392.25,2678,61552.0,30283.0,1381.0,1233.0,1215.0,133900.0,198200.0,285400.0,1078.0,142,3665,10202.0,5251.0,1081,652.0,1129.0,1195.0,1072.0,1100.0,1255.0
77,60619,93,"Chicago, IL",2014,842.3636363636364,162,34153.0,19797.0,512.0,278.0,863.0,94000.0,145400.0,194900.0,710.0,49,2977,8132.0,3454.0,356,477.0,1440.0,1310.0,1348.0,1086.0,3165.0
78,78745,94,"Austin, TX",2014,1055.9166666666667,963,52949.0,27967.0,1128.0,324.0,1058.0,144900.0,174600.0,218800.0,879.0,39,3384,13956.0,4461.0,738,817.0,1061.0,1312.0,1620.0,1680.0,1696.0
79,94110,95,"San Francisco, CA",2014,3226.9,9310,84488.0,49010.0,2814.0,4610.0,1447.0,595100.0,787100.0,968600.0,1387.0,1977,7616,27212.0,10990.0,1518,2537.0,879.0,1043.0,1141.0,756.0,1146.0
80,23462,96,"Virginia Beach, VA",2014,1224.6666666666667,3771,57830.0,26743.0,967.0,305.0,1254.0,162300.0,205500.0,259200.0,1082.0,56,2464,9285.0,3305.0,503,749.0,1131.0,1420.0,1410.0,1210.0,2006.0
81,33025,97,"Miami-Fort Lauderdale, FL",2014,1427.9166666666667,2621,53857.0,23998.0,623.0,153.0,1385.0,93400.0,152500.0,222000.0,1244.0,0,2541,10419.0,3474.0,544,621.0,1092.0,1267.0,967.0,1479.0,2169.0
