,zip,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,,,,,,,,,,,,,,,,,
11,1852,1707.78964,1751.779385,1757.488692,1763.197998,1768.907305,1773.616612,1779.325918,1785.035225,1790.744532,1796.453838,1801.163145,1806.872451,1851.371398,1897.07045,1904.489063,1911.907676,1919.32629,1925.744903,,,,,,,,,,,,,,,,,
12,1902,1580.605323,1605.201818,1613.72513,1623.248443,1631.771755,1639.295068,1646.818381,1654.341693,1661.865006,1669.388318,1676.911631,1684.434943,1708.563579,1734.683386,1744.730011,1755.776637,1765.823262,1774.869887,,,,,,,,,,,,,,,,,
13,1950,1923.471163,1984.295371,1994.902157,2005.508943,2008.115729,2010.722515,2013.329301,2010.936086,2009.542872,2007.149658,2005.756444,2003.36323,2058.441179,2120.872173,2133.085745,2145.299317,2149.512888,2153.72646,,,,,,,,,,,,,,,,,
14,1960,1907.18913,1942.988559,1951.645937,1959.303314,1966.960692,1974.618069,1982.275447,1988.932824,1995.590202,2003.247579,2006.904957,2010.562334,2046.408842,2083.865649,2094.180404,2103.495159,2112.809914,2122.124669,,,,,,,,,,,,,,,,,
15,1970,1950.501882,1975.788295,1985.511422,1994.23455,2004.957677,2015.680804,2026.403932,2037.127059,2047.850186,2057.573314,2065.296441,2073.019568,2095.244577,2122.254118,2133.700372,2144.146627,2156.592882,2169.039136,,,,,,,,,,,,,,,,,
16,2026,2281.460007,2357.231144,2353.878146,2349.525148,2345.17215,2340.819152,2336.466154,2337.113156,2338.760158,2339.40716,2340.054162,2339.701164,2419.808173,2497.226312,2495.520315,2492.814319,2490.108323,2487.402327,,,,,,,,,,,,,,,,,
17,2108,2866.779086,2852.439516,2866.061975,2878.684434,2896.306893,2914.929353,2932.551812,2954.174271,2974.79673,2996.419189,3003.041648,3010.664107,3003.065652,2990.348542,3005.59346,3019.838378,3039.083296,3059.328215,,,,,,,,,,,,,,,,,
18,2111,3714.255443,3727.841909,3740.921935,3753.001961,3765.081988,3777.162014,3788.24204,3797.322066,3805.402092,3813.482118,3804.562144,3794.642171,3804.97764,3819.644132,3833.804184,3846.964237,3860.124289,3873.284341,,,,,,,,,,,,,,,,,
19,2113,2562.891507,2587.010843,2597.243869,2607.476894,2616.709919,2625.942944,2635.17597,2640.408995,2645.64202,2649.875045,2648.108071,2646.341096,2666.465628,2691.81799,2703.28404,2714.750091,2725.216141,2735.682192,,,,,,,,,,,,,,,,,
20,2114,2755.199367,2773.446821,2779.658421,2785.870021,2795.081621,2803.293222,2812.504822,2821.716422,2831.928023,2841.139623,2840.351223,2839.562823,2856.973791,2876.432845,2883.856045,2891.279246,2901.702446,2911.125647,,,,,,,,,,,,,,,,,
21,2115,2873.878365,2908.043911,2915.482869,2922.921826,2930.360784,2938.799742,2947.238699,2952.677657,2959.116615,2965.555573,2962.99453,2961.433488,2994.750811,3030.355314,3039.23323,3048.111145,3056.98906,3066.866976,,,,,,,,,,,,,,,,,
22,2116,2822.303887,2855.923092,2863.100121,2871.27715,2875.454178,2879.631207,2883.808236,2886.985264,2890.162293,2893.339322,2890.51635,2887.693379,2921.174295,2955.970528,2964.324586,2973.678643,2979.0327,2984.386758,,,,,,,,,,,,,,,,,
23,2118,3140.976861,3180.726784,3195.62715,3210.527517,3222.427884,3235.328251,3247.228618,3254.128985,3262.029352,3268.929719,3265.830086,3263.730453,3300.607681,3342.25797,3359.058704,3375.859437,3389.660171,3404.460905,,,,,,,,,,,,,,,,,
