,state,county,candidate,party,total_votes,won,county_st,just_co
12201,Mississippi,Jefferson Davis County,Donald Trump,REP,2534,False,"Jefferson Davis County, Mississippi",Jefferson Davis 
12202,Mississippi,Jefferson Davis County,Kanye West,IND,29,False,"Jefferson Davis County, Mississippi",Jefferson Davis 
12203,Mississippi,Jefferson Davis County,Jo Jorgensen,LIB,16,False,"Jefferson Davis County, Mississippi",Jefferson Davis 
12204,Mississippi,Jefferson Davis County,Phil Collins,PRO,11,False,"Jefferson Davis County, Mississippi",Jefferson Davis 
12205,Mississippi,Jefferson Davis County,Don Blankenship,CST,8,False,"Jefferson Davis County, Mississippi",Jefferson Davis 
12206,Mississippi,Jefferson Davis County,Brian Carroll,ASP,6,False,"Jefferson Davis County, Mississippi",Jefferson Davis 
12207,Mississippi,Jefferson Davis County,Howie Hawkins,GRN,5,False,"Jefferson Davis County, Mississippi",Jefferson Davis 
12208,Mississippi,Jefferson Davis County,Brock Pierce,IND,5,False,"Jefferson Davis County, Mississippi",Jefferson Davis 
12209,Mississippi,Jefferson Davis County, Write-ins,WRI,0,False,"Jefferson Davis County, Mississippi",Jefferson Davis 
12210,Mississippi,Jones County,Donald Trump,REP,21226,True,"Jones County, Mississippi",Jones 
12211,Mississippi,Jones County,Joe Biden,DEM,8517,False,"Jones County, Mississippi",Jones 
12212,Mississippi,Jones County,Jo Jorgensen,LIB,169,False,"Jones County, Mississippi",Jones 
12213,Mississippi,Jones County,Kanye West,IND,69,False,"Jones County, Mississippi",Jones 
12214,Mississippi,Jones County,Don Blankenship,CST,30,False,"Jones County, Mississippi",Jones 
12215,Mississippi,Jones County,Phil Collins,PRO,26,False,"Jones County, Mississippi",Jones 
12216,Mississippi,Jones County,Howie Hawkins,GRN,24,False,"Jones County, Mississippi",Jones 
12217,Mississippi,Jones County,Brian Carroll,ASP,21,False,"Jones County, Mississippi",Jones 
12218,Mississippi,Jones County,Brock Pierce,IND,9,False,"Jones County, Mississippi",Jones 
12219,Mississippi,Jones County, Write-ins,WRI,0,False,"Jones County, Mississippi",Jones 
12220,Mississippi,Kemper County,Joe Biden,DEM,2887,True,"Kemper County, Mississippi",Kemper 
12221,Mississippi,Kemper County,Donald Trump,REP,1787,False,"Kemper County, Mississippi",Kemper 
12222,Mississippi,Kemper County,Jo Jorgensen,LIB,10,False,"Kemper County, Mississippi",Kemper 
12223,Mississippi,Kemper County,Don Blankenship,CST,9,False,"Kemper County, Mississippi",Kemper 
12224,Mississippi,Kemper County,Phil Collins,PRO,9,False,"Kemper County, Mississippi",Kemper 
12225,Mississippi,Kemper County,Howie Hawkins,GRN,9,False,"Kemper County, Mississippi",Kemper 
12226,Mississippi,Kemper County,Kanye West,IND,9,False,"Kemper County, Mississippi",Kemper 
12227,Mississippi,Kemper County,Brian Carroll,ASP,6,False,"Kemper County, Mississippi",Kemper 
12228,Mississippi,Kemper County,Brock Pierce,IND,5,False,"Kemper County, Mississippi",Kemper 
12229,Mississippi,Kemper County, Write-ins,WRI,1,False,"Kemper County, Mississippi",Kemper 
12230,Mississippi,Lafayette County,Donald Trump,REP,12949,True,"Lafayette County, Mississippi",Lafayette 
12231,Mississippi,Lafayette County,Joe Biden,DEM,10070,False,"Lafayette County, Mississippi",Lafayette 
12232,Mississippi,Lafayette County,Jo Jorgensen,LIB,242,False,"Lafayette County, Mississippi",Lafayette 
12233,Mississippi,Lafayette County, Write-ins,WRI,58,False,"Lafayette County, Mississippi",Lafayette 
12234,Mississippi,Lafayette County,Kanye West,IND,55,False,"Lafayette County, Mississippi",Lafayette 
12235,Mississippi,Lafayette County,Howie Hawkins,GRN,40,False,"Lafayette County, Mississippi",Lafayette 
12236,Mississippi,Lafayette County,Brian Carroll,ASP,29,False,"Lafayette County, Mississippi",Lafayette 
12237,Mississippi,Lafayette County,Don Blankenship,CST,16,False,"Lafayette County, Mississippi",Lafayette 
12238,Mississippi,Lafayette County,Phil Collins,PRO,14,False,"Lafayette County, Mississippi",Lafayette 
12239,Mississippi,Lafayette County,Brock Pierce,IND,8,False,"Lafayette County, Mississippi",Lafayette 
12240,Mississippi,Lamar County,Donald Trump,REP,20704,True,"Lamar County, Mississippi",Lamar 
12241,Mississippi,Lamar County,Joe Biden,DEM,7340,False,"Lamar County, Mississippi",Lamar 
12242,Mississippi,Lamar County,Jo Jorgensen,LIB,264,False,"Lamar County, Mississippi",Lamar 
12243,Mississippi,Lamar County,Kanye West,IND,66,False,"Lamar County, Mississippi",Lamar 
12244,Mississippi,Lamar County, Write-ins,WRI,41,False,"Lamar County, Mississippi",Lamar 
12245,Mississippi,Lamar County,Howie Hawkins,GRN,32,False,"Lamar County, Mississippi",Lamar 
12246,Mississippi,Lamar County,Brian Carroll,ASP,29,False,"Lamar County, Mississippi",Lamar 
12247,Mississippi,Lamar County,Don Blankenship,CST,21,False,"Lamar County, Mississippi",Lamar 
12248,Mississippi,Lamar County,Phil Collins,PRO,19,False,"Lamar County, Mississippi",Lamar 
12249,Mississippi,Lamar County,Brock Pierce,IND,10,False,"Lamar County, Mississippi",Lamar 
12250,Mississippi,Lauderdale County,Donald Trump,REP,17967,True,"Lauderdale County, Mississippi",Lauderdale 
12251,Mississippi,Lauderdale County,Joe Biden,DEM,12960,False,"Lauderdale County, Mississippi",Lauderdale 
12252,Mississippi,Lauderdale County,Jo Jorgensen,LIB,149,False,"Lauderdale County, Mississippi",Lauderdale 
12253,Mississippi,Lauderdale County,Kanye West,IND,67,False,"Lauderdale County, Mississippi",Lauderdale 
12254,Mississippi,Lauderdale County,Don Blankenship,CST,25,False,"Lauderdale County, Mississippi",Lauderdale 
12255,Mississippi,Lauderdale County,Howie Hawkins,GRN,25,False,"Lauderdale County, Mississippi",Lauderdale 
12256,Mississippi,Lauderdale County,Phil Collins,PRO,24,False,"Lauderdale County, Mississippi",Lauderdale 
12257,Mississippi,Lauderdale County, Write-ins,WRI,19,False,"Lauderdale County, Mississippi",Lauderdale 
12258,Mississippi,Lauderdale County,Brian Carroll,ASP,16,False,"Lauderdale County, Mississippi",Lauderdale 
12259,Mississippi,Lauderdale County,Brock Pierce,IND,14,False,"Lauderdale County, Mississippi",Lauderdale 
12260,Mississippi,Lawrence County,Donald Trump,REP,4285,True,"Lawrence County, Mississippi",Lawrence 
12261,Mississippi,Lawrence County,Joe Biden,DEM,2260,False,"Lawrence County, Mississippi",Lawrence 
12262,Mississippi,Lawrence County,Jo Jorgensen,LIB,19,False,"Lawrence County, Mississippi",Lawrence 
12263,Mississippi,Lawrence County,Kanye West,IND,19,False,"Lawrence County, Mississippi",Lawrence 
12264,Mississippi,Lawrence County,Don Blankenship,CST,11,False,"Lawrence County, Mississippi",Lawrence 
12265,Mississippi,Lawrence County,Howie Hawkins,GRN,8,False,"Lawrence County, Mississippi",Lawrence 
12266,Mississippi,Lawrence County,Brian Carroll,ASP,5,False,"Lawrence County, Mississippi",Lawrence 
12267,Mississippi,Lawrence County,Phil Collins,PRO,5,False,"Lawrence County, Mississippi",Lawrence 
12268,Mississippi,Lawrence County, Write-ins,WRI,4,False,"Lawrence County, Mississippi",Lawrence 
12269,Mississippi,Lawrence County,Brock Pierce,IND,1,False,"Lawrence County, Mississippi",Lawrence 
12270,Mississippi,Leake County,Donald Trump,REP,5228,True,"Leake County, Mississippi",Leake 
12271,Mississippi,Leake County,Joe Biden,DEM,3897,False,"Leake County, Mississippi",Leake 
12272,Mississippi,Leake County,Kanye West,IND,23,False,"Leake County, Mississippi",Leake 
12273,Mississippi,Leake County,Jo Jorgensen,LIB,19,False,"Leake County, Mississippi",Leake 
12274,Mississippi,Leake County,Don Blankenship,CST,14,False,"Leake County, Mississippi",Leake 
12275,Mississippi,Leake County,Phil Collins,PRO,8,False,"Leake County, Mississippi",Leake 
12276,Mississippi,Leake County,Howie Hawkins,GRN,6,False,"Leake County, Mississippi",Leake 
12277,Mississippi,Leake County,Brian Carroll,ASP,4,False,"Leake County, Mississippi",Leake 
12278,Mississippi,Leake County, Write-ins,WRI,4,False,"Leake County, Mississippi",Leake 
12279,Mississippi,Leake County,Brock Pierce,IND,1,False,"Leake County, Mississippi",Leake 
12280,Mississippi,Lee County,Donald Trump,REP,24207,True,"Lee County, Mississippi",Lee 
12281,Mississippi,Lee County,Joe Biden,DEM,12189,False,"Lee County, Mississippi",Lee 
12282,Mississippi,Lee County,Jo Jorgensen,LIB,292,False,"Lee County, Mississippi",Lee 
12283,Mississippi,Lee County,Kanye West,IND,116,False,"Lee County, Mississippi",Lee 
12284,Mississippi,Lee County, Write-ins,WRI,49,False,"Lee County, Mississippi",Lee 
12285,Mississippi,Lee County,Howie Hawkins,GRN,44,False,"Lee County, Mississippi",Lee 
12286,Mississippi,Lee County,Brian Carroll,ASP,32,False,"Lee County, Mississippi",Lee 
12287,Mississippi,Lee County,Phil Collins,PRO,32,False,"Lee County, Mississippi",Lee 
12288,Mississippi,Lee County,Don Blankenship,CST,30,False,"Lee County, Mississippi",Lee 
12289,Mississippi,Lee County,Brock Pierce,IND,12,False,"Lee County, Mississippi",Lee 
12290,Mississippi,Leflore County,Joe Biden,DEM,7648,True,"Leflore County, Mississippi",Leflore 
12291,Mississippi,Leflore County,Donald Trump,REP,3129,False,"Leflore County, Mississippi",Leflore 
12292,Mississippi,Leflore County,Kanye West,IND,39,False,"Leflore County, Mississippi",Leflore 
12293,Mississippi,Leflore County,Jo Jorgensen,LIB,31,False,"Leflore County, Mississippi",Leflore 
12294,Mississippi,Leflore County,Don Blankenship,CST,13,False,"Leflore County, Mississippi",Leflore 
12295,Mississippi,Leflore County,Brian Carroll,ASP,9,False,"Leflore County, Mississippi",Leflore 
12296,Mississippi,Leflore County,Phil Collins,PRO,9,False,"Leflore County, Mississippi",Leflore 
12297,Mississippi,Leflore County,Howie Hawkins,GRN,9,False,"Leflore County, Mississippi",Leflore 
12298,Mississippi,Leflore County,Brock Pierce,IND,6,False,"Leflore County, Mississippi",Leflore 
12299,Mississippi,Leflore County, Write-ins,WRI,0,False,"Leflore County, Mississippi",Leflore 
12300,Mississippi,Lincoln County,Donald Trump,REP,11596,True,"Lincoln County, Mississippi",Lincoln 
12301,Mississippi,Lincoln County,Joe Biden,DEM,5040,False,"Lincoln County, Mississippi",Lincoln 
12302,Mississippi,Lincoln County,Jo Jorgensen,LIB,64,False,"Lincoln County, Mississippi",Lincoln 
12303,Mississippi,Lincoln County,Kanye West,IND,31,False,"Lincoln County, Mississippi",Lincoln 
12304,Mississippi,Lincoln County,Howie Hawkins,GRN,19,False,"Lincoln County, Mississippi",Lincoln 
12305,Mississippi,Lincoln County,Don Blankenship,CST,18,False,"Lincoln County, Mississippi",Lincoln 
12306,Mississippi,Lincoln County, Write-ins,WRI,17,False,"Lincoln County, Mississippi",Lincoln 
12307,Mississippi,Lincoln County,Brian Carroll,ASP,15,False,"Lincoln County, Mississippi",Lincoln 
12308,Mississippi,Lincoln County,Phil Collins,PRO,11,False,"Lincoln County, Mississippi",Lincoln 
12309,Mississippi,Lincoln County,Brock Pierce,IND,7,False,"Lincoln County, Mississippi",Lincoln 
12310,Mississippi,Lowndes County,Donald Trump,REP,13800,True,"Lowndes County, Mississippi",Lowndes 
12311,Mississippi,Lowndes County,Joe Biden,DEM,13087,False,"Lowndes County, Mississippi",Lowndes 
12312,Mississippi,Lowndes County,Jo Jorgensen,LIB,182,False,"Lowndes County, Mississippi",Lowndes 
12313,Mississippi,Lowndes County,Kanye West,IND,71,False,"Lowndes County, Mississippi",Lowndes 
12314,Mississippi,Lowndes County, Write-ins,WRI,33,False,"Lowndes County, Mississippi",Lowndes 
12315,Mississippi,Lowndes County,Howie Hawkins,GRN,32,False,"Lowndes County, Mississippi",Lowndes 
12316,Mississippi,Lowndes County,Phil Collins,PRO,21,False,"Lowndes County, Mississippi",Lowndes 
12317,Mississippi,Lowndes County,Don Blankenship,CST,20,False,"Lowndes County, Mississippi",Lowndes 
12318,Mississippi,Lowndes County,Brian Carroll,ASP,19,False,"Lowndes County, Mississippi",Lowndes 
12319,Mississippi,Lowndes County,Brock Pierce,IND,9,False,"Lowndes County, Mississippi",Lowndes 
12320,Mississippi,Madison County,Donald Trump,REP,31091,True,"Madison County, Mississippi",Madison 
12321,Mississippi,Madison County,Joe Biden,DEM,24440,False,"Madison County, Mississippi",Madison 
12322,Mississippi,Madison County,Jo Jorgensen,LIB,351,False,"Madison County, Mississippi",Madison 
12323,Mississippi,Madison County,Kanye West,IND,140,False,"Madison County, Mississippi",Madison 
12324,Mississippi,Madison County, Write-ins,WRI,123,False,"Madison County, Mississippi",Madison 
12325,Mississippi,Madison County,Phil Collins,PRO,53,False,"Madison County, Mississippi",Madison 
12326,Mississippi,Madison County,Brian Carroll,ASP,45,False,"Madison County, Mississippi",Madison 
12327,Mississippi,Madison County,Howie Hawkins,GRN,41,False,"Madison County, Mississippi",Madison 
12328,Mississippi,Madison County,Don Blankenship,CST,37,False,"Madison County, Mississippi",Madison 
12329,Mississippi,Madison County,Brock Pierce,IND,14,False,"Madison County, Mississippi",Madison 
12330,Mississippi,Marion County,Donald Trump,REP,8273,True,"Marion County, Mississippi",Marion 
12331,Mississippi,Marion County,Joe Biden,DEM,3787,False,"Marion County, Mississippi",Marion 
12332,Mississippi,Marion County,Jo Jorgensen,LIB,44,False,"Marion County, Mississippi",Marion 
12333,Mississippi,Marion County,Kanye West,IND,29,False,"Marion County, Mississippi",Marion 
12334,Mississippi,Marion County, Write-ins,WRI,17,False,"Marion County, Mississippi",Marion 
12335,Mississippi,Marion County,Don Blankenship,CST,12,False,"Marion County, Mississippi",Marion 
12336,Mississippi,Marion County,Phil Collins,PRO,11,False,"Marion County, Mississippi",Marion 
12337,Mississippi,Marion County,Howie Hawkins,GRN,11,False,"Marion County, Mississippi",Marion 
12338,Mississippi,Marion County,Brian Carroll,ASP,5,False,"Marion County, Mississippi",Marion 
12339,Mississippi,Marion County,Brock Pierce,IND,5,False,"Marion County, Mississippi",Marion 
12340,Mississippi,Marshall County,Joe Biden,DEM,8057,True,"Marshall County, Mississippi",Marshall 
12341,Mississippi,Marshall County,Donald Trump,REP,7566,False,"Marshall County, Mississippi",Marshall 
12342,Mississippi,Marshall County,Kanye West,IND,51,False,"Marshall County, Mississippi",Marshall 
12343,Mississippi,Marshall County,Jo Jorgensen,LIB,48,False,"Marshall County, Mississippi",Marshall 
12344,Mississippi,Marshall County,Howie Hawkins,GRN,27,False,"Marshall County, Mississippi",Marshall 
12345,Mississippi,Marshall County,Don Blankenship,CST,23,False,"Marshall County, Mississippi",Marshall 
12346,Mississippi,Marshall County,Phil Collins,PRO,23,False,"Marshall County, Mississippi",Marshall 
12347,Mississippi,Marshall County, Write-ins,WRI,13,False,"Marshall County, Mississippi",Marshall 
12348,Mississippi,Marshall County,Brian Carroll,ASP,11,False,"Marshall County, Mississippi",Marshall 
12349,Mississippi,Marshall County,Brock Pierce,IND,11,False,"Marshall County, Mississippi",Marshall 
12350,Mississippi,Monroe County,Donald Trump,REP,11177,True,"Monroe County, Mississippi",Monroe 
12351,Mississippi,Monroe County,Joe Biden,DEM,5874,False,"Monroe County, Mississippi",Monroe 
12352,Mississippi,Monroe County,Jo Jorgensen,LIB,93,False,"Monroe County, Mississippi",Monroe 
12353,Mississippi,Monroe County,Kanye West,IND,39,False,"Monroe County, Mississippi",Monroe 
12354,Mississippi,Monroe County,Phil Collins,PRO,22,False,"Monroe County, Mississippi",Monroe 
12355,Mississippi,Monroe County,Don Blankenship,CST,20,False,"Monroe County, Mississippi",Monroe 
12356,Mississippi,Monroe County, Write-ins,WRI,20,False,"Monroe County, Mississippi",Monroe 
12357,Mississippi,Monroe County,Howie Hawkins,GRN,17,False,"Monroe County, Mississippi",Monroe 
12358,Mississippi,Monroe County,Brian Carroll,ASP,13,False,"Monroe County, Mississippi",Monroe 
12359,Mississippi,Monroe County,Brock Pierce,IND,4,False,"Monroe County, Mississippi",Monroe 
12360,Mississippi,Montgomery County,Donald Trump,REP,2917,True,"Montgomery County, Mississippi",Montgomery 
12361,Mississippi,Montgomery County,Joe Biden,DEM,2121,False,"Montgomery County, Mississippi",Montgomery 
12362,Mississippi,Montgomery County,Kanye West,IND,11,False,"Montgomery County, Mississippi",Montgomery 
12363,Mississippi,Montgomery County,Jo Jorgensen,LIB,9,False,"Montgomery County, Mississippi",Montgomery 
12364,Mississippi,Montgomery County,Don Blankenship,CST,5,False,"Montgomery County, Mississippi",Montgomery 
12365,Mississippi,Montgomery County,Brian Carroll,ASP,4,False,"Montgomery County, Mississippi",Montgomery 
12366,Mississippi,Montgomery County,Phil Collins,PRO,4,False,"Montgomery County, Mississippi",Montgomery 
12367,Mississippi,Montgomery County,Howie Hawkins,GRN,3,False,"Montgomery County, Mississippi",Montgomery 
12368,Mississippi,Montgomery County, Write-ins,WRI,3,False,"Montgomery County, Mississippi",Montgomery 
12369,Mississippi,Montgomery County,Brock Pierce,IND,1,False,"Montgomery County, Mississippi",Montgomery 
12370,Mississippi,Neshoba County,Donald Trump,REP,8320,True,"Neshoba County, Mississippi",Neshoba 
12371,Mississippi,Neshoba County,Joe Biden,DEM,3260,False,"Neshoba County, Mississippi",Neshoba 
12372,Mississippi,Neshoba County,Jo Jorgensen,LIB,46,False,"Neshoba County, Mississippi",Neshoba 
12373,Mississippi,Neshoba County,Kanye West,IND,34,False,"Neshoba County, Mississippi",Neshoba 
12374,Mississippi,Neshoba County, Write-ins,WRI,17,False,"Neshoba County, Mississippi",Neshoba 
12375,Mississippi,Neshoba County,Don Blankenship,CST,15,False,"Neshoba County, Mississippi",Neshoba 
12376,Mississippi,Neshoba County,Phil Collins,PRO,12,False,"Neshoba County, Mississippi",Neshoba 
12377,Mississippi,Neshoba County,Brian Carroll,ASP,8,False,"Neshoba County, Mississippi",Neshoba 
12378,Mississippi,Neshoba County,Howie Hawkins,GRN,6,False,"Neshoba County, Mississippi",Neshoba 
12379,Mississippi,Neshoba County,Brock Pierce,IND,2,False,"Neshoba County, Mississippi",Neshoba 
12380,Mississippi,Newton County,Donald Trump,REP,6997,True,"Newton County, Mississippi",Newton 
12381,Mississippi,Newton County,Joe Biden,DEM,3075,False,"Newton County, Mississippi",Newton 
12382,Mississippi,Newton County,Jo Jorgensen,LIB,47,False,"Newton County, Mississippi",Newton 
12383,Mississippi,Newton County,Kanye West,IND,28,False,"Newton County, Mississippi",Newton 
12384,Mississippi,Newton County,Phil Collins,PRO,9,False,"Newton County, Mississippi",Newton 
12385,Mississippi,Newton County,Howie Hawkins,GRN,8,False,"Newton County, Mississippi",Newton 
12386,Mississippi,Newton County,Don Blankenship,CST,7,False,"Newton County, Mississippi",Newton 
12387,Mississippi,Newton County,Brian Carroll,ASP,6,False,"Newton County, Mississippi",Newton 
12388,Mississippi,Newton County,Brock Pierce,IND,6,False,"Newton County, Mississippi",Newton 
12389,Mississippi,Newton County, Write-ins,WRI,6,False,"Newton County, Mississippi",Newton 
12390,Mississippi,Noxubee County,Joe Biden,DEM,4040,True,"Noxubee County, Mississippi",Noxubee 
12391,Mississippi,Noxubee County,Donald Trump,REP,1240,False,"Noxubee County, Mississippi",Noxubee 
12392,Mississippi,Noxubee County,Kanye West,IND,15,False,"Noxubee County, Mississippi",Noxubee 
12393,Mississippi,Noxubee County,Jo Jorgensen,LIB,13,False,"Noxubee County, Mississippi",Noxubee 
12394,Mississippi,Noxubee County,Don Blankenship,CST,10,False,"Noxubee County, Mississippi",Noxubee 
12395,Mississippi,Noxubee County,Phil Collins,PRO,6,False,"Noxubee County, Mississippi",Noxubee 
12396,Mississippi,Noxubee County,Howie Hawkins,GRN,6,False,"Noxubee County, Mississippi",Noxubee 
12397,Mississippi,Noxubee County,Brian Carroll,ASP,5,False,"Noxubee County, Mississippi",Noxubee 
12398,Mississippi,Noxubee County,Brock Pierce,IND,4,False,"Noxubee County, Mississippi",Noxubee 
12399,Mississippi,Noxubee County, Write-ins,WRI,2,False,"Noxubee County, Mississippi",Noxubee 
12400,Mississippi,Oktibbeha County,Joe Biden,DEM,10299,True,"Oktibbeha County, Mississippi",Oktibbeha 
12401,Mississippi,Oktibbeha County,Donald Trump,REP,9004,False,"Oktibbeha County, Mississippi",Oktibbeha 
12402,Mississippi,Oktibbeha County,Jo Jorgensen,LIB,255,False,"Oktibbeha County, Mississippi",Oktibbeha 
12403,Mississippi,Oktibbeha County,Kanye West,IND,61,False,"Oktibbeha County, Mississippi",Oktibbeha 
12404,Mississippi,Oktibbeha County, Write-ins,WRI,55,False,"Oktibbeha County, Mississippi",Oktibbeha 
12405,Mississippi,Oktibbeha County,Howie Hawkins,GRN,51,False,"Oktibbeha County, Mississippi",Oktibbeha 
12406,Mississippi,Oktibbeha County,Brian Carroll,ASP,28,False,"Oktibbeha County, Mississippi",Oktibbeha 
12407,Mississippi,Oktibbeha County,Phil Collins,PRO,28,False,"Oktibbeha County, Mississippi",Oktibbeha 
12408,Mississippi,Oktibbeha County,Don Blankenship,CST,17,False,"Oktibbeha County, Mississippi",Oktibbeha 
12409,Mississippi,Oktibbeha County,Brock Pierce,IND,14,False,"Oktibbeha County, Mississippi",Oktibbeha 
12410,Mississippi,Panola County,Donald Trump,REP,8060,True,"Panola County, Mississippi",Panola 
12411,Mississippi,Panola County,Joe Biden,DEM,7403,False,"Panola County, Mississippi",Panola 
12412,Mississippi,Panola County,Kanye West,IND,49,False,"Panola County, Mississippi",Panola 
12413,Mississippi,Panola County,Jo Jorgensen,LIB,48,False,"Panola County, Mississippi",Panola 
12414,Mississippi,Panola County,Don Blankenship,CST,19,False,"Panola County, Mississippi",Panola 
12415,Mississippi,Panola County,Phil Collins,PRO,19,False,"Panola County, Mississippi",Panola 
12416,Mississippi,Panola County,Howie Hawkins,GRN,11,False,"Panola County, Mississippi",Panola 
12417,Mississippi,Panola County,Brock Pierce,IND,11,False,"Panola County, Mississippi",Panola 
12418,Mississippi,Panola County, Write-ins,WRI,8,False,"Panola County, Mississippi",Panola 
12419,Mississippi,Panola County,Brian Carroll,ASP,7,False,"Panola County, Mississippi",Panola 
12420,Mississippi,Pearl River County,Donald Trump,REP,19595,True,"Pearl River County, Mississippi",Pearl River 
12421,Mississippi,Pearl River County,Joe Biden,DEM,4148,False,"Pearl River County, Mississippi",Pearl River 
12422,Mississippi,Pearl River County,Jo Jorgensen,LIB,160,False,"Pearl River County, Mississippi",Pearl River 
12423,Mississippi,Pearl River County,Kanye West,IND,42,False,"Pearl River County, Mississippi",Pearl River 
12424,Mississippi,Pearl River County,Howie Hawkins,GRN,31,False,"Pearl River County, Mississippi",Pearl River 
12425,Mississippi,Pearl River County, Write-ins,WRI,23,False,"Pearl River County, Mississippi",Pearl River 
12426,Mississippi,Pearl River County,Don Blankenship,CST,18,False,"Pearl River County, Mississippi",Pearl River 
12427,Mississippi,Pearl River County,Brian Carroll,ASP,14,False,"Pearl River County, Mississippi",Pearl River 
12428,Mississippi,Pearl River County,Brock Pierce,IND,13,False,"Pearl River County, Mississippi",Pearl River 
12429,Mississippi,Pearl River County,Phil Collins,PRO,12,False,"Pearl River County, Mississippi",Pearl River 
12430,Mississippi,Perry County,Donald Trump,REP,4500,True,"Perry County, Mississippi",Perry 
12431,Mississippi,Perry County,Joe Biden,DEM,1362,False,"Perry County, Mississippi",Perry 
12432,Mississippi,Perry County,Jo Jorgensen,LIB,21,False,"Perry County, Mississippi",Perry 
12433,Mississippi,Perry County,Kanye West,IND,9,False,"Perry County, Mississippi",Perry 
12434,Mississippi,Perry County,Howie Hawkins,GRN,7,False,"Perry County, Mississippi",Perry 
12435,Mississippi,Perry County,Don Blankenship,CST,6,False,"Perry County, Mississippi",Perry 
12436,Mississippi,Perry County, Write-ins,WRI,6,False,"Perry County, Mississippi",Perry 
12437,Mississippi,Perry County,Phil Collins,PRO,4,False,"Perry County, Mississippi",Perry 
12438,Mississippi,Perry County,Brock Pierce,IND,4,False,"Perry County, Mississippi",Perry 
12439,Mississippi,Perry County,Brian Carroll,ASP,3,False,"Perry County, Mississippi",Perry 
12440,Mississippi,Pike County,Joe Biden,DEM,8646,True,"Pike County, Mississippi",Pike 
12441,Mississippi,Pike County,Donald Trump,REP,8479,False,"Pike County, Mississippi",Pike 
12442,Mississippi,Pike County,Jo Jorgensen,LIB,91,False,"Pike County, Mississippi",Pike 
12443,Mississippi,Pike County,Kanye West,IND,43,False,"Pike County, Mississippi",Pike 
12444,Mississippi,Pike County,Phil Collins,PRO,22,False,"Pike County, Mississippi",Pike 
12445,Mississippi,Pike County,Don Blankenship,CST,21,False,"Pike County, Mississippi",Pike 
12446,Mississippi,Pike County,Brian Carroll,ASP,18,False,"Pike County, Mississippi",Pike 
12447,Mississippi,Pike County,Howie Hawkins,GRN,18,False,"Pike County, Mississippi",Pike 
12448,Mississippi,Pike County, Write-ins,WRI,18,False,"Pike County, Mississippi",Pike 
12449,Mississippi,Pike County,Brock Pierce,IND,4,False,"Pike County, Mississippi",Pike 
12450,Mississippi,Pontotoc County,Donald Trump,REP,11550,True,"Pontotoc County, Mississippi",Pontotoc 
12451,Mississippi,Pontotoc County,Joe Biden,DEM,2614,False,"Pontotoc County, Mississippi",Pontotoc 
12452,Mississippi,Pontotoc County,Jo Jorgensen,LIB,103,False,"Pontotoc County, Mississippi",Pontotoc 
12453,Mississippi,Pontotoc County,Kanye West,IND,30,False,"Pontotoc County, Mississippi",Pontotoc 
12454,Mississippi,Pontotoc County,Howie Hawkins,GRN,17,False,"Pontotoc County, Mississippi",Pontotoc 
12455,Mississippi,Pontotoc County,Don Blankenship,CST,16,False,"Pontotoc County, Mississippi",Pontotoc 
12456,Mississippi,Pontotoc County,Phil Collins,PRO,16,False,"Pontotoc County, Mississippi",Pontotoc 
12457,Mississippi,Pontotoc County, Write-ins,WRI,16,False,"Pontotoc County, Mississippi",Pontotoc 
12458,Mississippi,Pontotoc County,Brian Carroll,ASP,11,False,"Pontotoc County, Mississippi",Pontotoc 
12459,Mississippi,Pontotoc County,Brock Pierce,IND,4,False,"Pontotoc County, Mississippi",Pontotoc 
12460,Mississippi,Prentiss County,Donald Trump,REP,8370,True,"Prentiss County, Mississippi",Prentiss 
12461,Mississippi,Prentiss County,Joe Biden,DEM,2153,False,"Prentiss County, Mississippi",Prentiss 
12462,Mississippi,Prentiss County,Jo Jorgensen,LIB,70,False,"Prentiss County, Mississippi",Prentiss 
12463,Mississippi,Prentiss County,Kanye West,IND,20,False,"Prentiss County, Mississippi",Prentiss 
12464,Mississippi,Prentiss County, Write-ins,WRI,17,False,"Prentiss County, Mississippi",Prentiss 
12465,Mississippi,Prentiss County,Don Blankenship,CST,10,False,"Prentiss County, Mississippi",Prentiss 
12466,Mississippi,Prentiss County,Phil Collins,PRO,9,False,"Prentiss County, Mississippi",Prentiss 
12467,Mississippi,Prentiss County,Howie Hawkins,GRN,6,False,"Prentiss County, Mississippi",Prentiss 
12468,Mississippi,Prentiss County,Brian Carroll,ASP,3,False,"Prentiss County, Mississippi",Prentiss 
12469,Mississippi,Prentiss County,Brock Pierce,IND,3,False,"Prentiss County, Mississippi",Prentiss 
12470,Mississippi,Quitman County,Joe Biden,DEM,2150,True,"Quitman County, Mississippi",Quitman 
12471,Mississippi,Quitman County,Donald Trump,REP,1026,False,"Quitman County, Mississippi",Quitman 
12472,Mississippi,Quitman County,Jo Jorgensen,LIB,12,False,"Quitman County, Mississippi",Quitman 
12473,Mississippi,Quitman County,Kanye West,IND,12,False,"Quitman County, Mississippi",Quitman 
12474,Mississippi,Quitman County,Brian Carroll,ASP,8,False,"Quitman County, Mississippi",Quitman 
12475,Mississippi,Quitman County,Don Blankenship,CST,7,False,"Quitman County, Mississippi",Quitman 
12476,Mississippi,Quitman County,Howie Hawkins,GRN,5,False,"Quitman County, Mississippi",Quitman 
