,state,county,candidate,party,total_votes,won,county_st,just_co
95,Florida,Bradford County,Howie Hawkins,GRN,11,False,"Bradford County, Florida",Bradford 
96,Florida,Bradford County,Rocky De La Fuente,ALI,7,False,"Bradford County, Florida",Bradford 
97,Florida,Bradford County,Don Blankenship,CST,6,False,"Bradford County, Florida",Bradford 
98,Florida,Bradford County,Gloria La Riva,PSL,3,False,"Bradford County, Florida",Bradford 
99,Florida,Bradford County, Write-ins,WRI,1,False,"Bradford County, Florida",Bradford 
100,Florida,Brevard County,Donald Trump,REP,207883,True,"Brevard County, Florida",Brevard 
101,Florida,Brevard County,Joe Biden,DEM,148549,False,"Brevard County, Florida",Brevard 
102,Florida,Brevard County,Jo Jorgensen,LIB,3178,False,"Brevard County, Florida",Brevard 
103,Florida,Brevard County,Howie Hawkins,GRN,553,False,"Brevard County, Florida",Brevard 
104,Florida,Brevard County,Rocky De La Fuente,ALI,222,False,"Brevard County, Florida",Brevard 
105,Florida,Brevard County,Don Blankenship,CST,171,False,"Brevard County, Florida",Brevard 
106,Florida,Brevard County,Gloria La Riva,PSL,164,False,"Brevard County, Florida",Brevard 
107,Florida,Brevard County, Write-ins,WRI,44,False,"Brevard County, Florida",Brevard 
108,Florida,Broward County,Joe Biden,DEM,618752,True,"Broward County, Florida",Broward 
109,Florida,Broward County,Donald Trump,REP,333409,False,"Broward County, Florida",Broward 
110,Florida,Broward County,Jo Jorgensen,LIB,3114,False,"Broward County, Florida",Broward 
111,Florida,Broward County,Howie Hawkins,GRN,1253,False,"Broward County, Florida",Broward 
112,Florida,Broward County,Rocky De La Fuente,ALI,426,False,"Broward County, Florida",Broward 
113,Florida,Broward County,Gloria La Riva,PSL,417,False,"Broward County, Florida",Broward 
114,Florida,Broward County,Don Blankenship,CST,238,False,"Broward County, Florida",Broward 
115,Florida,Broward County, Write-ins,WRI,63,False,"Broward County, Florida",Broward 
116,Florida,Calhoun County,Donald Trump,REP,5274,True,"Calhoun County, Florida",Calhoun 
117,Florida,Calhoun County,Joe Biden,DEM,1209,False,"Calhoun County, Florida",Calhoun 
118,Florida,Calhoun County,Jo Jorgensen,LIB,29,False,"Calhoun County, Florida",Calhoun 
119,Florida,Calhoun County,Rocky De La Fuente,ALI,4,False,"Calhoun County, Florida",Calhoun 
120,Florida,Calhoun County,Howie Hawkins,GRN,4,False,"Calhoun County, Florida",Calhoun 
121,Florida,Calhoun County,Gloria La Riva,PSL,4,False,"Calhoun County, Florida",Calhoun 
122,Florida,Calhoun County,Don Blankenship,CST,2,False,"Calhoun County, Florida",Calhoun 
123,Florida,Calhoun County, Write-ins,WRI,0,False,"Calhoun County, Florida",Calhoun 
124,Florida,Charlotte County,Donald Trump,REP,73243,True,"Charlotte County, Florida",Charlotte 
125,Florida,Charlotte County,Joe Biden,DEM,42273,False,"Charlotte County, Florida",Charlotte 
126,Florida,Charlotte County,Jo Jorgensen,LIB,565,False,"Charlotte County, Florida",Charlotte 
127,Florida,Charlotte County,Howie Hawkins,GRN,129,False,"Charlotte County, Florida",Charlotte 
128,Florida,Charlotte County,Rocky De La Fuente,ALI,49,False,"Charlotte County, Florida",Charlotte 
129,Florida,Charlotte County,Don Blankenship,CST,45,False,"Charlotte County, Florida",Charlotte 
130,Florida,Charlotte County,Gloria La Riva,PSL,32,False,"Charlotte County, Florida",Charlotte 
131,Florida,Charlotte County, Write-ins,WRI,4,False,"Charlotte County, Florida",Charlotte 
132,Florida,Citrus County,Donald Trump,REP,65352,True,"Citrus County, Florida",Citrus 
133,Florida,Citrus County,Joe Biden,DEM,27092,False,"Citrus County, Florida",Citrus 
134,Florida,Citrus County,Jo Jorgensen,LIB,548,False,"Citrus County, Florida",Citrus 
135,Florida,Citrus County,Howie Hawkins,GRN,86,False,"Citrus County, Florida",Citrus 
136,Florida,Citrus County,Don Blankenship,CST,49,False,"Citrus County, Florida",Citrus 
137,Florida,Citrus County,Rocky De La Fuente,ALI,42,False,"Citrus County, Florida",Citrus 
138,Florida,Citrus County,Gloria La Riva,PSL,30,False,"Citrus County, Florida",Citrus 
139,Florida,Citrus County, Write-ins,WRI,9,False,"Citrus County, Florida",Citrus 
140,Florida,Clay County,Donald Trump,REP,84480,True,"Clay County, Florida",Clay 
141,Florida,Clay County,Joe Biden,DEM,38317,False,"Clay County, Florida",Clay 
142,Florida,Clay County,Jo Jorgensen,LIB,1286,False,"Clay County, Florida",Clay 
143,Florida,Clay County,Howie Hawkins,GRN,153,False,"Clay County, Florida",Clay 
144,Florida,Clay County,Don Blankenship,CST,57,False,"Clay County, Florida",Clay 
145,Florida,Clay County,Gloria La Riva,PSL,55,False,"Clay County, Florida",Clay 
146,Florida,Clay County,Rocky De La Fuente,ALI,45,False,"Clay County, Florida",Clay 
147,Florida,Clay County, Write-ins,WRI,12,False,"Clay County, Florida",Clay 
148,Florida,Collier County,Donald Trump,REP,128950,True,"Collier County, Florida",Collier 
149,Florida,Collier County,Joe Biden,DEM,77621,False,"Collier County, Florida",Collier 
150,Florida,Collier County,Jo Jorgensen,LIB,889,False,"Collier County, Florida",Collier 
151,Florida,Collier County,Howie Hawkins,GRN,186,False,"Collier County, Florida",Collier 
152,Florida,Collier County,Rocky De La Fuente,ALI,64,False,"Collier County, Florida",Collier 
153,Florida,Collier County,Gloria La Riva,PSL,50,False,"Collier County, Florida",Collier 
154,Florida,Collier County,Don Blankenship,CST,39,False,"Collier County, Florida",Collier 
155,Florida,Collier County, Write-ins,WRI,19,False,"Collier County, Florida",Collier 
156,Florida,Columbia County,Donald Trump,REP,23836,True,"Columbia County, Florida",Columbia 
157,Florida,Columbia County,Joe Biden,DEM,8914,False,"Columbia County, Florida",Columbia 
158,Florida,Columbia County,Jo Jorgensen,LIB,224,False,"Columbia County, Florida",Columbia 
159,Florida,Columbia County,Howie Hawkins,GRN,28,False,"Columbia County, Florida",Columbia 
160,Florida,Columbia County,Gloria La Riva,PSL,20,False,"Columbia County, Florida",Columbia 
161,Florida,Columbia County,Rocky De La Fuente,ALI,12,False,"Columbia County, Florida",Columbia 
162,Florida,Columbia County,Don Blankenship,CST,8,False,"Columbia County, Florida",Columbia 
163,Florida,Columbia County, Write-ins,WRI,0,False,"Columbia County, Florida",Columbia 
164,Florida,DeSoto County,Donald Trump,REP,8313,True,"DeSoto County, Florida",DeSoto 
165,Florida,DeSoto County,Joe Biden,DEM,4259,False,"DeSoto County, Florida",DeSoto 
166,Florida,DeSoto County,Jo Jorgensen,LIB,52,False,"DeSoto County, Florida",DeSoto 
167,Florida,DeSoto County,Rocky De La Fuente,ALI,12,False,"DeSoto County, Florida",DeSoto 
168,Florida,DeSoto County,Gloria La Riva,PSL,11,False,"DeSoto County, Florida",DeSoto 
169,Florida,DeSoto County,Howie Hawkins,GRN,8,False,"DeSoto County, Florida",DeSoto 
170,Florida,DeSoto County,Don Blankenship,CST,4,False,"DeSoto County, Florida",DeSoto 
171,Florida,DeSoto County, Write-ins,WRI,0,False,"DeSoto County, Florida",DeSoto 
172,Florida,Dixie County,Donald Trump,REP,6759,True,"Dixie County, Florida",Dixie 
173,Florida,Dixie County,Joe Biden,DEM,1365,False,"Dixie County, Florida",Dixie 
174,Florida,Dixie County,Jo Jorgensen,LIB,27,False,"Dixie County, Florida",Dixie 
175,Florida,Dixie County,Rocky De La Fuente,ALI,5,False,"Dixie County, Florida",Dixie 
176,Florida,Dixie County,Howie Hawkins,GRN,5,False,"Dixie County, Florida",Dixie 
177,Florida,Dixie County,Don Blankenship,CST,4,False,"Dixie County, Florida",Dixie 
178,Florida,Dixie County,Gloria La Riva,PSL,2,False,"Dixie County, Florida",Dixie 
179,Florida,Duval County,Joe Biden,DEM,252556,True,"Duval County, Florida",Duval 
180,Florida,Duval County,Donald Trump,REP,233762,False,"Duval County, Florida",Duval 
