,ZIP,MSE,RMSE,R2
797,38016,27278.30330266975,165.1614461751584,-2.7393008133245664
798,38018,15421.04626483705,124.18150532521761,-0.7800633906677079
799,38104,222.04019641147767,14.901013267945158,0.8072841389727894
800,38111,12250.461899638642,110.6818047360931,-6.480873801499361
801,38112,794.0009938494294,28.178023242403455,0.6839059273004999
802,38117,5584.014932270799,74.72626668227711,-0.3539102861840473
803,38127,487.5118909913305,22.079671442105532,0.3500804297256741
804,38128,282.0310739378688,16.79378081129645,0.8331338592110313
805,38141,7428.369373442592,86.18798856826044,-1.0288152758444715
806,38671,4734.591869257577,68.80837063364876,0.21800049466598748
807,40211,56.53093589720883,7.5187057328511555,0.9033521540438088
808,41042,9904.563882857668,99.5216754423762,-6.786606826145965
809,43017,11047.532768876066,105.107244131297,-4.859071651611425
810,43201,5290.371120740497,72.73493741483865,-18.20473533797095
811,43202,609.8993290434943,24.696139962421135,-1.2852181354668812
812,43204,1482.8140527809,38.50732466402853,0.18325033813477232
813,43206,8413.034522212438,91.7225954834055,-3.5294803973386832
814,43235,794.891352308488,28.193817625651338,0.040758625532798076
815,44107,961.2589401839604,31.004176173282858,0.41602168933981
816,44118,5107.177062088891,71.46451610476973,-4.059811603467542
817,45011,1195.9516477488726,34.582533853794935,0.5318860620216672
818,45219,389.6518114448225,19.739600083203875,0.8308032275983541
819,45231,19691.483165633745,140.32634523008767,-12.712135206952166
820,45324,1178.144805996394,34.32411405989081,-0.6278200452152127
821,45342,7264.897869344026,85.23437023492357,-4.495268701203642
822,45405,2398.14457616256,48.97085435401919,-4.279385515822345
823,46032,10980.7827880782,104.7892303057819,-4.925149217902712
824,46037,12096.016138253812,109.98189004674275,-2.8492189601350626
825,46038,2266.425413628478,47.60698912584662,-0.06663950496445703
826,46202,14763.52803683126,121.50525929700022,-23.780259666445605
827,46203,3824.5157715708897,61.8426695055355,-1.1552676380002822
828,46205,3678.4397745359624,60.65014241150603,-0.27406289093697955
