,zip,mse,r2,rmse
1414,92507,1813.9363287385793,-0.6819499764221209,42.59033139972709
1392,92109,1822.843001062329,-1.9315321884406447,42.69476549955895
171,19123,1827.9522149361562,-68.6362748547107,42.75455782646052
170,19122,1831.795897682409,-13.40783314760033,42.799484782908415
1566,97201,1831.9426851966239,-408.6269358203631,42.80119957660794
494,32746,1838.7514002453963,-2.813078940601052,42.88066464323281
1141,85051,1839.8762019072747,-1.1463235019009037,42.89377812582234
1044,78744,1840.5479201038331,-72.62191680415332,42.90160743030304
602,33441,1843.268394707796,-2.121244694707462,42.9333016981899
303,27526,1852.225504845229,-2.757684878806889,43.037489527680734
1084,80218,1884.5235694076976,-645.1223666540677,43.411099610672125
794,55406,1895.7385138791315,-55.077721035044156,43.54007939679407
1227,89102,1899.893824294991,-3.009154611642419,43.58777149952714
902,75041,1908.8851369450201,-6.682489092232612,43.69079007004817
1033,78702,1910.658735868726,-2.233533024223116,43.71108252913357
490,32712,1910.9537411355695,-1.3290901134468802,43.7144568894041
821,60107,1936.3631268269767,-4.264638061005298,44.00412624773928
642,33759,1940.8808324324611,-1.4822093135659742,44.05542909145774
856,60625,1945.5834172391953,0.0,44.10876803130184
1123,85013,1951.7539539614543,-5.802511602537743,44.17865948579081
673,34608,1952.526291375584,-1.9190592395980484,44.187399690133205
1591,98029,1953.3778822165004,-4.310898252382298,44.197034767238634
998,78109,1958.6462278707065,-4.298411797666474,44.25659530364606
888,73072,1960.464470444683,-10.124956011350658,44.27713259058995
306,27540,1971.979207939294,-5.761071570077579,44.406972514902364
1179,85302,1978.6576699879454,-1.0414902017530108,44.48210505347004
1058,80010,1984.8098295429606,-41.53163920449201,44.551204580156536
78,08536,1989.0266958427583,-5.627020920901369,44.59850553373687
231,21045,1993.360983148025,-3.634226373479425,44.64707138377639
1343,91701,1997.807943595292,-3.41125404621139,44.6968448953088
211,20190,2001.798177027296,0.0,44.741459263498506
350,28215,2007.2275736255585,-2.0586324931437083,44.80209340673222
50,06810,2011.9951398516534,-5.309392424621909,44.855268808152886
593,33411,2015.3995289007714,-2.2794423721039494,44.89320136613974
932,75230,2018.4621586829762,-37.651403038610184,44.927298590978914
737,46032,2018.6373417251068,-4.963967525818944,44.92924817671788
423,30188,2025.2113171992353,-1.6362311042512467,45.0023479076285
1118,83705,2029.9627774358114,-1.4741395533632122,45.0551082279891
1080,80209,2049.802986400779,-11.918926384878858,45.274749987170324
1312,91104,2051.8319328332013,-15.13850766484493,45.29715148696661
874,64105,2064.297229874576,-14861.94005509695,45.43453785254755
1245,89144,2065.8492485348656,-1.346667075200529,45.45161436665221
578,33311,2072.2675646889925,-1.315023501281729,45.52216564146517
731,45011,2073.7131496686493,-3.9374122611158313,45.538040687634435
572,33193,2077.6882219353065,-2.850740114789488,45.58166541423543
873,64055,2083.9950520702955,-6.263415807389935,45.65079464883711
680,34691,2092.4833362188106,-2.187466682345753,45.743669903264326
374,29445,2113.5899311675034,-2.578985772437917,45.973796136141544
991,77450,2132.2714736683633,-8.077787730849227,46.17652513635433
478,32224,2150.6323263012837,-3.122617877893835,46.37491052607308
580,33314,2159.983461672558,-1.0496983056175258,46.4756222300741
1357,91786,2170.9986052763807,-1.0930891748781386,46.593976062108936
857,60626,2175.822362571291,-558.4971789469033,46.64571108442116
1244,89142,2179.522447890243,-2.735434807143477,46.68535581839602
1182,85306,2185.0774604674925,-1.8443299311841819,46.744812123566106
980,77098,2197.2660132788437,-598.2543672578664,46.875004141640815
237,21113,2217.575886890998,-4.620044486312983,47.09114446359313
209,20171,2229.39128940475,-835.0217335267812,47.21643029078702
704,37209,2231.566249661035,-22.18510389258218,47.2394564920156
